,Genre,Responsable_secondaire,Orphelin,Confession,Ecole_secondaire,Option_secondaire,Grade_examen_Etat,Province_secondaire,Age_fin_secondaire,Etude_cours_secondaire,Vouloir_devenir_avant_universite,Respo_oriention_departement,Aimer_departement,Annee_reposAvantUniversite,Age_adm_Universite,Nature_universite,Type_institution,Province_universite,Respo_universitaire,Niveau,Refaitre_sixieme_secondaire,Competence_math,Competence_physique,Competence_biologie,Competence_chimie,Competence_informatique,Competence_Dessin,Domaine_Universite
98,0,6.0,0,6.0,6,8,0.0,6.0,4.0,1,11,1,1,2.0,2.5,2.0,1,2.5,0,1,0,1,1.0,1.0,1.0,2,1,1
99,1,2.0,1,1.0,6,1,0.0,0.0,1.0,0,6,0,0,1.0,2.0,1.0,0,1.0,0,1,0,2,1.0,1.0,1.0,1,2,1
100,1,1.0,0,0.0,0,0,0.0,0.0,3.0,0,3,3,1,0.0,2.5,0.0,0,0.0,1,1,0,1,1.0,1.0,1.0,1,1,0
101,1,2.0,0,0.0,0,1,0.0,0.0,1.0,0,11,1,1,0.0,2.0,1.0,0,0.0,5,2,0,1,1.0,1.0,1.0,0,1,2
102,0,1.0,0,0.0,6,2,0.0,7.5,7.0,0,8,5,0,0.0,2.5,2.5,0,2.5,3,0,0,0,1.0,1.0,1.0,2,0,1
103,0,6.0,0,0.0,0,14,0.0,3.0,7.0,1,6,1,0,0.0,2.5,1.0,1,2.5,0,0,1,2,1.0,1.0,1.0,1,2,2
104,1,2.0,1,0.0,5,0,0.0,0.0,2.0,0,1,0,0,1.0,2.5,0.0,0,0.0,6,0,0,1,1.0,1.0,1.0,2,1,0
105,0,6.0,1,0.0,0,8,0.0,0.0,1.0,1,0,0,0,0.0,1.0,0.0,0,0.0,6,2,0,1,1.0,1.0,1.0,2,2,0
106,1,5.0,1,0.0,0,8,0.0,0.0,2.0,1,0,0,0,1.0,2.5,1.0,1,0.0,6,2,0,1,1.0,1.0,1.0,1,2,0
107,0,1.0,0,1.0,0,6,0.0,7.5,2.0,1,1,5,0,0.0,2.5,1.0,0,2.5,0,0,0,1,1.0,1.0,1.0,1,1,1
108,0,4.0,1,0.0,0,6,0.0,0.0,3.0,1,1,0,0,0.0,2.5,1.0,1,0.0,4,2,1,1,1.0,1.0,1.0,1,2,1
109,0,1.0,0,0.0,5,8,0.0,0.0,3.0,1,11,0,0,1.0,2.5,1.0,1,0.0,1,2,0,1,1.0,1.0,1.0,2,2,0
110,0,4.0,0,5.0,5,8,0.0,7.5,3.0,0,1,0,0,0.0,2.5,1.0,1,2.5,1,0,0,1,1.0,1.0,1.0,1,2,0
111,0,1.0,0,1.0,1,7,0.0,0.0,6.0,0,1,0,0,0.0,2.5,1.0,1,0.0,1,2,0,1,1.0,1.0,1.0,2,1,0
112,1,1.0,0,4.0,5,5,0.0,0.0,6.0,1,1,4,0,1.0,2.5,1.0,1,0.0,1,2,0,2,1.0,1.0,1.0,2,2,0
113,0,1.0,0,0.0,0,6,0.0,0.0,7.0,0,1,0,0,0.0,2.5,0.0,0,0.0,1,2,0,1,1.0,1.0,1.0,2,1,0
114,0,4.0,1,0.0,5,1,0.0,2.0,7.0,0,0,0,0,2.5,2.5,1.0,1,0.0,4,2,0,1,1.0,1.0,1.0,2,1,0
115,0,2.0,0,1.0,0,2,0.0,3.0,6.0,0,0,0,0,2.0,2.5,1.0,1,0.0,0,2,1,1,1.0,1.0,1.0,1,1,2
116,1,2.0,0,0.0,0,7,0.0,0.0,7.0,3,0,0,0,2.0,2.5,0.0,1,2.5,1,2,0,0,1.0,1.0,1.0,2,2,0
117,0,1.0,1,8.125,6,8,0.0,7.5,3.0,1,2,0,0,1.0,2.0,2.5,0,0.0,3,2,0,1,1.0,1.0,1.0,2,1,0
118,0,1.0,0,0.0,0,14,0.0,0.0,2.0,0,1,0,0,0.0,2.5,1.0,1,0.0,1,0,0,1,1.0,1.0,1.0,1,2,1
119,0,6.0,0,2.0,6,8,0.0,0.0,4.0,2,11,0,0,1.0,2.5,1.0,1,0.0,6,2,0,0,1.0,1.0,1.0,2,1,0
120,1,4.0,0,8.125,0,10,0.0,3.0,5.0,2,1,0,0,2.0,2.5,1.0,1,1.0,1,2,1,2,1.0,1.0,1.0,1,2,1
121,0,5.0,1,1.0,6,7,0.0,0.0,1.0,0,11,0,0,0.0,2.0,2.5,0,1.0,2,1,0,2,1.0,1.0,1.0,1,1,1
